address,quantity,collection,expiration_timestamp
0x00000005dd3d2f4429af886cd1a3b08289dbcea99a294197e9eb43b0e0325b4b,"149,421,433.008314062096878994 SLINK",slinks,1733579162
0x0179caf1b35202a0a544109cc04caf07a813755d1a15927e025ad874108b0543,"68,042,412.682572813046073025 SLINK",slinks,1733579162
0x00a0e2f86d0d4cd02bcc2b4e0423196a2bbdf4fcdf48f1ffcf783a3c4966614e,"61,844,049.402285672952536148 SLINK",slinks,1733579162
0x002ef708141e9f7bea63404b7d61ca5efcbe612e33ecc93db8d22d50d141888c,"21,334,249.777711798808505854 SLINK",slinks,1733579162
0x0679ec8aef07a3d506bd87dcd2563100321233c648d061a4297cf5f664311657,"21,083,812.09400883061815429 SLINK",slinks,1733579162
0x016facd576c9cb4bf20869dfe7633b3f9d8e09e44eefc10e4dce7179d6a430c4,"20,023,441.614191886632482109 SLINK",slinks,1733579162
0x045b6ce97690e98dee1ff6d0c3ad7e90640ca4b7bf7dad9b3217019bc866cc17,"18,735,428.098977777264814653 SLINK",slinks,1733579162
0x037780473b2cd3d58fa4a9b5be172da2479159df129649cb38576678a90e3ed7,"18,034,508.365489612675322553 SLINK",slinks,1733579162
0x0577b5a148a45f7ed608f8755d0ef01bc0e1b9f3ce7d33a521fc401fba13acc6,"17,812,574.447823229986580698 SLINK",slinks,1733579162
0x077dc9fb5b2b26a1896c7f0bb9d1c55b47373ee304fdeeb73e458d3f06c0e394,"17,185,813.478317417499151458 SLINK",slinks,1733579162
0x036e6cdec2caa5dbfd3335c4885ec61bff09992c8763e3dadb46a6c38f10f89e,"16,901,408.009731530796029193 SLINK",slinks,1733579162
0x010ceff1a4734826c515fe0ef63cc52ecda0d4166132619d530a31e0238d9b7d,"14,802,256.279122140222836584 SLINK",slinks,1733579162
0x06fa9b79eb5d0f3f507e66f261a1f9065e6644982daa285007924313d4239140,"13,000,000.547563405976400226 SLINK",slinks,1733579162
0x0648e392ae87685caf6bcbc26d359026659bc9995c93b627cf04c5c7b707e6ab,"12,814,423.34042990784177193 SLINK",slinks,1733579162
0x010cfbb80c7f0ac5eff22be78b181845039b01f86bedd1c6e2e5a2db4532e5e6,"11,325,156.551876681090529844 SLINK",slinks,1733579162
0x01823268ef99264115a5128ad5baaabc1b4075f9126a24363275af94829e7681,"11,000,000 SLINK",slinks,1733579162
0x05e4b84559de7aaf476b4dadc25d2761f94534c3b777c5ed6776d61cd432580b,"10,000,000 SLINK",slinks,1733579162
0x05b4c042bea81ddb43ff777555ac1984789e09a76d13700c79c5f0ee475ed4ab,"10,000,000 SLINK",slinks,1733579162
0x04f9978b8e4c15eadecb29938cfead204dbb7a09bf71b6043d6ff93392bf9fc3,"10,000,000 SLINK",slinks,1733579162
0x031d3ae63afe1c54f280b2361a3cf3a336d0262b5891be81f87049a8e78a4d97,"9,610,608 SLINK",slinks,1733579162
0x02bd1cdd5f7f17726ae221845afd9580278eebc732bc136fe59d5d94365effd5,"9,413,901.662064689116076641 SLINK",slinks,1733579162
0x034337ee4a5f7586ab4ea937c948cbf94214fe791fb974620d08d4b1c4d76f14,"9,147,166.15645958619757618 SLINK",slinks,1733579162
0x048f9a0db1455f33bc731458569fb5a6bb310d66ec9d2a863061bba4cf5cf310,"8,999,872 SLINK",slinks,1733579162
0x00ffd45310414d0bfc1ecb01f7d51f3dd6813cd0a180a4085987657a02fd4451,"8,437,823.051819033112607085 SLINK",slinks,1733579162
0x05a03a3432b456a81e5e354c16f02c4e1e3b04ae039af59dc617b6846596b1c0,"8,400,849.07198274676312444 SLINK",slinks,1733579162
0x00bc29293b529b7759c101ccc2a443955a6cc87349170bf751df4415e0f4f031,"8,330,913 SLINK",slinks,1733579162
0x01c2fcd8f7cac021c27b2be76c91deb8815495f7988dc25781aa4e004932f3de,"8,000,000 SLINK",slinks,1733579162
0x01e64eabc1aab7b548d03f0d6e54e2e1f99989f5e249af3d06bd607c32cceb75,"7,871,365.620352839070915487 SLINK",slinks,1733579162
0x0105aac6fcf07895956fa0289de2185903dd605f5be54146a9adf40c8a3a2599,"7,734,084.28554322692061917 SLINK",slinks,1733579162
0x04123221a6cc0a199b8c42e0d5834b9fd5f02662c25a69a4e24ddd0595301b74,"7,132,330.612718813120372391 SLINK",slinks,1733579162
0x03e97f2cd0b89d9a4ccfe8ea76b3cb79c16663502b8a068088c90e4984a73478,"7,101,561 SLINK",slinks,1733579162
0x04762607f469a774fc9d230eb5ac6cbedce1da20ae61206a1a79e37b5c19cd93,"7,000,000 SLINK",slinks,1733579162
0x03e66aa072469850f69f6e4680aa3e42a09857ccb50493705136a840548079f4,"5,730,006.038968830999323079 SLINK",slinks,1733579162
