address,name,points,level,chest_contribution,chest_prize_share
0xa2621ff2b0317ac99b881541b96aa75a7e118901b45025aad22a23633cccbe,spag,13229,11,13229,84.09 LORDS
0x12a477bd3377fdc9454282998403dd0bc177f3e9eaa3af430cbae0e48c62112,Gaet,9095,10,9095,34.97 LORDS
0x236f731decce33f914a5cf93f08aaa39e706a13bdb2c71b78dda28134d2594c,0xLucqs,7690,9,7690,70.77 LORDS
0x78c7bd4752e801e9a3abf976e50789a0a6450857348e0af060507fd47b98a95,avocato,4803,8,4803,20.81 LORDS
0x3c0f67740e3fe298a52fe75dd24b4981217406f133e0835331379731b67dc92,loothero,3800,7,3800,15.84 LORDS
0x422df28c194eb777fab20634fba39e366929754f0606823692643f34d530163,Heloise,2633,6,2633,15.58 LORDS
0xa1c28263f092baec5a0074d902b3435ec1d1b63828a5a3e156bbeb7b88b222,chqrles,2331,6,2331,19.48 LORDS
0x29a092d0810ef4ad66075753c453d29e7ee3c714bf81fbb8130ffe0412fdd96,Starkythedoggo,2151,5,2151,7.81 LORDS
0x70244d6ad52c90e742f12385783c49df57a8f74f628a59e4a6e916dfcb15b8c,Joon,1922,5,1922,9.51 LORDS
0x6d15a8b41747e26dda93ba61f443a7467af7beb36d2e1b97204bce4fe20bec1,Matthias,1861,5,1861,22.25 LORDS
0x6ae89baf07a24fff003d0b10be52f74ccf1099786287795859e91431d325702,Sosij ,1852,5,1852,7.95 LORDS
0x6cf00b54b71c644cdee82050ea7a9af7b07c79a62ec54ed0b46479f8451e14a,Cosmos,1795,5,1795,21.88 LORDS
0x40eef43f4d7b9cc357312a83365c3649273886c5394efafdcc9144bd6b86424,Click,1744,5,1744,7.90 LORDS
0x8b95a26e1392ed9e817607bfae2dd93efb9c66ee7db0b018091a11d9037006,Bal7hazar,1734,5,1734,7.13 LORDS
0x63f57596022b9b2af8b81216325f24dcc7b0dad08e06405e24bfc8e56c9e00d,Crii,1602,5,1602,6.88 LORDS
0x17205ab27ba2a15f614dfa932f93ebe1f426139e3650cdcc81ef923280ab781,dami,1491,4,1491,10.60 LORDS
0x6a1d3b5b618ebffa5f333ea4eb43392b4c878a1f1e6a92878bea782820445c9,Suvasquez80,1281,4,1281,4.95 LORDS
0x57c54434905c896cc163358a9057f91b5e3e6a4f60b5a4bef3fdd77c2dc91aa,FaFqt,1187,4,1187,4.31 LORDS
0x6786823ea7f6dc07ec507a7ec95b64846ac9bd35a3f1b62c29e4e5d6604684e,gsbujo,1171,4,1171,4.25 LORDS
0x419d649f349f191ded9ae98f63627082d2d3bb6888af8fb7cd387ff54a054fc,Yoyo ,1008,4,1008,4.29 LORDS
0x4023e548a418aaefd0e2c89aff2ac9bba7e275d4a9f1b59fe06c1c57dd3b71f,ReVeNgeXD,869,3,869,3.15 LORDS
0x2d889448e2ce40fa6874e0bc0bd6156d535a1c9866fd9163be5756e5695493b,Rainman,828,3,828,3.01 LORDS
0x72f1575ba02cc5332ed54abc9e6bea5f9a71848cd99b92cbd519f12d8ead781,Bob,825,3,825,7.05 LORDS
0x1abdb0c3319b72218653a0a94962ee66ebe27fd6b0bde234d1eddfccec57ed0,Sosi,803,3,803,3.98 LORDS
0x1702fe99d6f7bb8803a741e29f594fdaf91bad68f56803677cf30045d66ab47,Matthias,772,3,772,9.16 LORDS
0x1c9f001de664f0cd5b9e22fbb013865c2ca68c75c3ecc6d627b30ac6e2f8cd2,okhai,770,3,770,3.06 LORDS
0x1483baba3337df2def5f69a069164627c3e4b4b6cdaa5f825cfa45835421de8,shdwfx,747,3,747,9.68 LORDS
0x71abaf7c7e20032267d28ceaccb50927059721354fe0d7ee822fa0bc8d9964,Spidey_nfts,710,3,710,2.58 LORDS
0xaed4c3ce9c80ec0a241c865ae1c16372e6d8fe2ab6d86e22728b826cf183c8,LeFen,686,3,686,3.07 LORDS
0x10b685e795f70a7fb32d473878154e38a2668372dfe5d01d6cbdd9309d1be7f,calc,684,3,684,3.94 LORDS
0x427fab88f49f07dd490c892651caa7205a813270b882a09b27073c94cf44bb9,Candemor,657,3,657,2.38 LORDS
0x76bd69406bce444e6f872e3939a4230e7a5dd73cbd50f0ec7d2a304f7d1c1b7,classicj,647,3,647,3.22 LORDS
0x5bee3a70403512c1a2ee7c4ecc4530a8d3c8b59f2edc7c0dbae5794500756c,nicabar,614,3,614,2.23 LORDS
0x73d092e26f326ddd9d3f4a8283352fde48a44c41f0d9e37a67fc5d1b6fb7949,daybot,576,2,576,2.09 LORDS
0x3ab5fa5a2ca371ac91a6ce286f66973863c7b0f8d778ac705844ebc3afd94c,malatrax ,534,2,534,2.52 LORDS
0x56c3cd5ed408a22b2932947abfdf69e467cb999d0cde0b51d6055baa009b544,broody,531,2,531,1.93 LORDS
0x7dda33291900ee1811a2acd58ec411b06d6fcf88ac9ccac532420f9c0f25b5,Rafouuu,516,2,516,8.85 LORDS
0x4ba375825046f50bc4e947769bbc26c73300ee989744c15029f44ebab2a5761,presorts,485,2,485,2.79 LORDS
0x48dc499155fdd9756022656a1064e961d2536b597a6ccc17e9c7d1898560842,Cosmos,454,2,454,2.12 LORDS
0x40a77b35637732463afeff6e277d1635998fe10c3d4db1448f62454e6df1ae4,dprof-in-tech,431,2,431,7.39 LORDS
0x254dff075e6d9c73a9a9116861df956b60fcd87e9832ab54015e49cad28cb70,nextlayer,418,2,418,2.26 LORDS
0x58600ace416581f320b7d45e3f4983db5c046702412e7696c43462ea516ddb1,Energyi,414,2,414,1.50 LORDS
0x134e958b8c59fdad8c0819610801c36330431d9525c1f3eb94dab4a44990531,kube,409,2,409,2.36 LORDS
0x48cd209ee4c48d81301ff0e065a6e110f700e79c6b51cfc9db9e945f41c03d,Cheelax,398,2,398,2.90 LORDS
0x2f178bdb16939fbc5edc77ea1d2d789be3a7b4b4d8377502504a30e7a25bb4c,broody,394,2,394,1.43 LORDS
0x398a9c08337a9088fbd0cd04635f6b4404326ac498c9361efc63b29f2df4f7a,baka_capital,321,2,321,1.85 LORDS
0x3a285af8c8fb7115ffc69f0bb22c82e1cb5e0b3101c811d51ba8bf9848302ea,Volcanic,319,2,319,4.98 LORDS
0x4364d8e9f994453f5d0c8dc838293226d8ae0aec78030e5ee5fb91614b00eb5,djizus,297,1,297,1.62 LORDS
0x6c727d19104e41cae434d7174ca52aba9f34e7a9efefdae61c6eaebfd883265,iretuna,264,1,264,1.13 LORDS
0x16c8b6168e8853b6bcc67f046f67d37abf214eb90172f1b184583d46541ed68,TitanLord,258,1,258,0.94 LORDS
0x3bf17b1f7bf17777054e50175d556021793f13b2e279ecfc82b407620bcb5d1,caillef,240,1,240,0.87 LORDS
0x2397614c15212d44ea63c400bbf2d4b6f1194111e3dd45b13ce369071807b73,revilotc,237,1,237,0.86 LORDS
0x6f03e397802c01eaaf323c9dc0d162944974b9f14825bee440ec2b19108a79b,karlos,222,1,222,1.28 LORDS
0x124fd4dc660e7f97403b3a3c626caef1dc1ef060903efb1bb73ac1ed399e1ef,Koi,217,1,217,1.25 LORDS
0xbd764e5415ae8337de3cdf126333251f136faf0b4b511fd760edff66778e8c,Delilahbn ,214,1,214,3.67 LORDS
0x6fbd4dc23f2a88814d589dc892ed96d7089930a46757dae84b243ef17b40cc6,Light,212,1,212,0.77 LORDS
0x52cc7e8d2e145f306c05509b954e7e63bdb9298a89f2068d528e3bdbde48b3c,Bulbhead,207,1,207,0.75 LORDS
0x3b8318d1293062fc957bf981178e0f009ef3f4bced3826f9b0742c8a4bb4992,starkience,185,1,185,0.94 LORDS
0x550212d3f13a373dfe9e3ef6aa41fba4124bde63fd7955393f879de19f3f47f,Mata,177,1,177,0.64 LORDS
0x10cc45e3ff2203e63797a8e4dee0b7f1edcd3d2dd9157c9a5adc642a04cf263,nicon44,163,1,163,0.94 LORDS
0x247393f2b4f3915fd5ed5acd704248cbd119709ae89a4787497d7157f4553b0,Reemjie,157,1,157,0.57 LORDS
0x615954c95e2348a0ce49ee1c77ca095c38957adc27ae31098a6d86ca96590f3,odi,145,1,145,0.53 LORDS
0x4acaf51bf622430b752822c99dc851b4cf446ad4a3af424da6b4881771034d9,Nusmie ,135,1,135,2.32 LORDS
0x73ccef00d690e5e27315ba9fa83ad6a055efe0a9db7b3d6d9498dda21c464fc,smph,117,1,117,0.42 LORDS
0x7e5f1258ec41badce63021bd3f76ec0e599020928a7a73ff30f2cc81d5b85eb,hdai28,116,1,116,0.42 LORDS
0x3426a93e228d1b5824ba98d3eb6881bf2289104693abeb538ee6aa25d2f13a5,OneFarmer,112,1,112,0.41 LORDS
0x56044e915cf9ce329397d3eaf71be32ed04cf848e4aa124ce1b0fce12fc616f,Lolaos,111,1,111,1.90 LORDS
0x456395f05593d5fa89480624b150a672ff90014c1f0197480b3f022197a410d,Secretive ,110,1,110,0.40 LORDS
0x3b9601d21f52309682e3377fcb61ed18afb072db5f789a2cefc7a154ee24205,roloxworld,101,1,101,0.37 LORDS
0x11610d2c6a67a95e87e678678de2ef6c3d0b8b7255b4a31d42f3be80955c372,StarknetEs,97,1,97,0.56 LORDS
0x59985882026802e3c277e4381ba8d8ecc8c646fea76e8a5fb4cc41fdde2b1c0,pauchek,90,1,90,0.33 LORDS
0x1e1a252ca3bac33baa5dddb061a936b8ddfd9a0dd4f7135361ed3045b586d9c,sizero,85,1,85,0.31 LORDS
0x13f1386e3d4267a1502d8ca782d34b63634d969d3c527a511814c2ef67b84c4,tarrence,76,1,76,0.28 LORDS
0x4d93c9701a762743004e2099308e13549f32a39af8a53c7c6f3618a8219b542,Teejey,69,1,69,0.25 LORDS
0x18f1a5171cf91eb2c8075af1f9e29a2890aa16037dff87c3920ca6307b1d199,raschel,63,1,63,0.66 LORDS
0x1f7d55a6a12315956f63b67ef8fa9861165c10d385058e9a01b1123d9c993a8,noespadon,63,1,63,0.23 LORDS
0x191318a277f9d5f05d96e60f2494bd4ac9f5dffe0ebf38090df8179d4bea330,nehkee,49,1,49,0.18 LORDS
0x65e07bc288577da8aa2eb9dca95cf7b0299278bc742e022db08a7be84fa44d4,odiwanobi,47,1,47,0.27 LORDS
0x3b8d964b99a97fabdb8bf9668903e301a649a9dcb88856c3722efd075e80d98,javytechy,46,1,46,0.17 LORDS
0x43a1465bae1d5a29b3a80c6d2c40d7e72e2455f79837c321898724d479c6891,shy,40,1,40,0.15 LORDS
0x7fc6f596b60c06d94710b7ca3abdd58cecadb191abc43129252383663bcc5eb,matvey,39,1,39,0.22 LORDS
0x7cca1066ebf319bada9e7b7ffa06d896399683e2fe22effae3af5b74a47dc8c,Ddc18,32,1,32,0.12 LORDS
0x714f102888e31f08c88bd9905d9f2e6caf2e32efb10a1f5ce5f48a3313e9bd,Aymmano,26,1,26,0.09 LORDS
0x331dbc3c3d7a826b9d1661f48fed08bcac2cfaef39036008b44faa07954839e,Coxmar,25,1,25,0.09 LORDS
0x6d0c9b85bbeeca46ccc57b74bb2715474f5f921702b851254f090def56fea52,meric,24,1,24,0.14 LORDS
0x6cb85ffcaf5b15782499c6a7030a1f7a774cefa8987be76e40c29e6d8353c1e,Oxfrank,23,1,23,0.08 LORDS
0x2793b5a9611de35b2d0a70bca79872a5c054a1c19884883f934ce5c851a70a5,stark137,22,1,22,0.08 LORDS
0x3fb7cf846341b9553a07f9d79686840f49cc56675bcba8197901d2363f715eb,godpers,20,1,20,0.34 LORDS
0x1594743d11bfe03cab43a2ff95ec9dd741d1a3aed8de123d2d3f905cd27b518,gianfra1889,11,1,11,0.06 LORDS
0x499b599c7b6d0f57fb280c681d78662b2933feabdfee62312467fff558ea05d,Lili,9,1,9,0.15 LORDS
0x41a99cc365960116afbe4350d30da02825b438bbec0ce20debe96359811e9e9,Sems ,9,1,9,0.03 LORDS
0x24b11c27d2786c8a4a5ea8f502207d57044fa8de41f932a7e386a06a10908f6,Demigod ,9,1,9,0.05 LORDS
0x2f280d80901235de8716b2abf870be4e8d5a6ecf73f4a5025739935033c5a1c,loll,9,1,9,0.15 LORDS
0x105fbcc128f92d536b29162956084af047ba851e9373340f6cf574125a421a0,yetkin,7,1,7,0.04 LORDS
0x6f66a17b759683274c0f7f2d3546c0f23a6e5db02a3ab670c01b8881b26c99e,Gtf.eth,6,1,6,0.02 LORDS
0x2ca2bae77044d5646f0fc7aaa0edb75bdfa17a5f62635e8fddf930b26d4e764,jinius,6,1,6,0.02 LORDS
0x1abb8b91e9c6d1f57335ef97077ffc4aad145c254e755619041fefee3ef1c47,kolot,6,1,6,0.02 LORDS
0x4904066378b609bedde15c276c146eecec8bef78566fc42ad6f59e79155c422,wolf,3,1,3,0.05 LORDS
0x4d596425bb6107a07e618a8fe378c8b81fbf0fbc3c5c4ffb9653012fff850ae,Hugoat,3,1,3,0.05 LORDS
0x72d72dc1249af38931b6e377448ce730b3726de4b6b998024f3c742cc0b417a,caglahan,3,1,3,0.02 LORDS
0x45512eb663110b832188e6e9efca6b7b98044f30fca334eb7395821fcd525c6,ruthn,2,1,2,0.01 LORDS
0x3caf40b5ca7b68ff12c280a2aa4d2606b2eb997f4fec3a7a8548a38cb6504f7,quaesitor,2,1,2,0.01 LORDS
0x5157ab2026de8538648a3e6bafd125972d5dfb5346298e4b3b883f94fae38,RoxFox,1,1,1,0.00 LORDS
0x2f52d1e754a4e964216cf864c21af4a8769ac9653af2205fd0140fd7ab0f6fb,nabz,1,1,1,0.00 LORDS
0x15e8a951924e4bf3048b5069088049c83936277948b4743de8fc58754eb29de,Ram,1,1,1,0.00 LORDS
0x5e24e41ebcc41e5d062f3573092203f86bd08857a3076dc0b1257caf2789993,Akashneelesh,1,1,1,0.00 LORDS
0x78e746daac4561bbef483d38d12a4d63c4cdea7838bcf25f34d89cc2032136b,Bulbhead,0,1,0,0.00 LORDS
0x75cd56aba1d142df2b3588ddd71a2551bccea4ad23fc2f871302f79097404a3,sendmoodz,0,1,0,0.00 LORDS
0x1d9131acbedebbd5981808f31539b032c73e1e5b65a8cc2153c9f0b15e244c,datcha6k,0,1,0,0.00 LORDS
0x4ef1218199d09d91b1d9030f1362ec186f5b05172b950586b0fcbc2909ce92,Yop,0,1,0,0.00 LORDS
0x49654795cd7a739929648c7ea14ecc62fffe8c056ad741ae8a18f339372f561,Sang,0,1,0,0.00 LORDS
0x394a4775c836d59b5bb84ec913e77fbca69351490c6162ec9663b83749cb204,Vladgz,0,1,0,0.00 LORDS
0x774ec1702702d689f9ee271ee2c723715f624d00ede812d8d34b3f62f8c59ba,Thann199,0,1,0,0.00 LORDS
0x48ea5f43d52f3b380095f2066fe142819b143455891dd5406fb2d46d2f9f8e8,cram,0,1,0,0.00 LORDS
0x62e37b4f6cb15aa5e8b6048f95be160198bbf10dda0ed40f929c64c52efd2ca,farquad,0,1,0,0.00 LORDS
0x5391510f3b75534a4dcaff12265a53491535fd776b56b32c65edbf6c76f3ed6,lijahd,0,1,0,0.00 LORDS
0x50d38d56c52205f7324f3531b5bfcbeb5e31ac5ef53b95602237ddd9ab3cd73,luis,0,1,0,0.00 LORDS
0x1e44a732f66ad9d78c99d597600dde185d3365fc72f91864d11b4502717581a,Alucard,0,1,0,0.00 LORDS
0x27b98d4686de81cba2b2a2023396bc9ec9da3e795c1b89297bbb22cc1eb4fc4,Wukong ,0,1,0,0.00 LORDS
0x74cc33d3953874cd8cd07b153d8d868059b56433ea810b3257e2a5caa64234a,shzzmoi,0,1,0,0.00 LORDS
0x40c532d5f8695aedf570089cec9b5d0de5da49dc549098ebc5e664600011965,denemexytssss,0,1,0,0.00 LORDS
0x3ecaaf1056c34809ae4c33ab1948a0135041c1af32ea964584bb9b542a641c6,Mikey,0,1,0,0.00 LORDS
0x2d85c07a3f6c48e3fb0d0440215143251a7993ee40b159c35033ca7225f9044,elias,0,1,0,0.00 LORDS
0x4a28ce582d3b707f3c5d37385fd528953ae10826d00efeaacb554f4d868760a,yan,0,1,0,0.00 LORDS
0x3a4193fd6a822a75f683636964d41bf892430f325d61406aae86cb9777c85c,Honart,0,1,0,0.00 LORDS
0x2e9cc65e39466085c14fdbcbf1e36461e89f12fd01fc9045a94d5196d5a1165,Leaaa,0,1,0,0.00 LORDS
0x654ada61c0834d0b355524ba0b8222b6ea20cec18590f19b5e08647ebd86069,berlinneverdie,0,1,0,0.00 LORDS
0xf91b8784e80f510ee83b247f0b70c0c879e9294f87ed5c8e10f89ff40d7e16,gabin,0,1,0,0.00 LORDS
0x34eb170e70ef01f192c681ff5b0e9757b965ae69b55ac24afd45321c88ff9ff,Alquimistadefi,0,1,0,0.00 LORDS
0x2655c8343b165b65c0af9850e181aa725d5403f4ccc0db2d9fca684b089851e,dami,0,1,0,0.00 LORDS
0x3cad63fd9af67506235fd26867af2123fa3bc1df53141d5ecb9e38e9c528b94,ass,0,1,0,0.00 LORDS
0x2220cd2757cb68b4e7ee28b233a331222ec9ef96336c8301195b61b904a6c30,Red,0,1,0,0.00 LORDS
0x300458948f195de97a3c780e8f910fa8a3ce6cec0159d44c98010e242dd4eab,casey,0,1,0,0.00 LORDS
0x4d8046d5a8211babec35eebd62eb80643ebd65b68d56321ee77e06cd268d6f9,Teejey,0,1,0,0.00 LORDS
0x1810dc756fc589c0b6f01eedc33809c6e282b8080ed416fe125e32c01514e00,hitekk,0,1,0,0.00 LORDS
0x58484371160fe923ff3a7690a71885fd8ab56b3ae7e839bd1579035e2146c2,luiz,0,1,0,0.00 LORDS
0x24040dc574841e2759b3459a55be1a22adb47b7c198b7ade4c7aa5cc234ebef,flippity,0,1,0,0.00 LORDS
